Type,Onset,Duration,DurationCorrected
TTLin1,109402.250,5.250,5.250
Opto1,109426.000,225.250,205.250
TTLin1,109902.000,5.250,5.250
Opto1,109925.750,241.750,221.750
TTLin1,110415.750,5.000,5.000
Opto1,110442.250,225.000,205.000
TTLin1,110915.750,5.000,5.000
Opto1,110942.000,225.000,205.000
TTLin1,111415.500,5.250,5.250
Opto1,111441.750,224.750,204.750
TTLin1,111916.000,5.250,5.250
Opto1,111941.500,225.000,205.000
TTLin1,112416.000,5.000,5.000
Opto1,112441.250,224.750,204.750
TTLin1,112915.750,5.250,5.250
Opto1,112941.000,224.750,204.750
TTLin1,113415.750,5.250,5.250
Opto1,113440.750,224.750,204.750
TTLin1,113915.250,5.250,5.250
Opto1,113940.250,224.750,204.750
TTLin1,114415.250,5.000,5.000
Opto1,114440.000,241.500,221.500
TTLin1,114931.500,5.250,5.250
Opto1,114956.500,241.500,221.500
TTLin1,115447.750,5.250,5.250
Opto1,115472.500,225.000,205.000
TTLin1,115947.750,5.250,5.250
Opto1,115989.000,225.000,205.000
TTLin1,116463.250,5.000,5.000
Opto1,116488.750,225.000,205.000
TTLin1,116963.000,5.000,5.000
Opto1,116988.750,224.750,204.750
TTLin1,117462.500,5.250,5.250
Opto1,117488.250,224.750,204.750
TTLin1,117962.500,5.250,5.250
Opto1,117988.000,224.750,204.750
TTLin1,118462.750,5.250,5.250
Opto1,118487.500,225.000,205.000
TTLin1,118962.500,5.250,5.250
Opto1,118987.250,225.000,205.000
TTLin1,119462.250,5.250,5.250
Opto1,119487.250,224.500,204.500
TTLin1,119962.000,5.250,5.250
Opto1,119987.000,224.500,204.500
TTLin1,120461.750,5.250,5.250
Opto1,120486.500,225.000,205.000
TTLin1,120961.750,5.250,5.250
Opto1,120986.250,224.750,204.750
TTLin1,121461.500,5.000,5.000
Opto1,121486.000,224.750,204.750
TTLin1,121961.250,5.000,5.000
Opto1,121985.500,225.000,205.000
TTLin1,122461.000,5.000,5.000
Opto1,122485.250,224.750,204.750
TTLin1,122960.750,5.250,5.250
Opto1,122985.000,225.000,205.000
TTLin1,123460.500,5.000,5.000
Opto1,123484.750,225.000,205.000
TTLin1,123960.500,5.000,5.000
Opto1,123984.500,224.750,204.750
TTLin1,124460.250,5.250,5.250
Opto1,124484.250,224.750,204.750
TTLin1,124959.750,5.250,5.250
Opto1,124984.000,224.750,204.750
TTLin1,125459.500,5.000,5.000
Opto1,125483.750,241.250,221.250
TTLin1,125975.250,5.250,5.250
Opto1,126000.000,224.750,204.750
TTLin1,126475.000,5.250,5.250
Opto1,126499.750,224.750,204.750
TTLin1,126974.750,5.250,5.250
Opto1,126999.500,224.750,204.750
TTLin1,127474.500,5.250,5.250
Opto1,127499.000,225.000,205.000
TTLin1,127974.250,5.000,5.000
Opto1,127998.750,225.000,205.000
TTLin1,128474.250,5.250,5.250
Opto1,128498.500,224.750,204.750
TTLin1,128974.000,5.250,5.250
Opto1,128998.000,225.000,205.000
TTLin1,129473.750,5.250,5.250
Opto1,129497.750,225.000,205.000
TTLin1,129973.500,5.000,5.000
Opto1,129997.500,225.000,205.000
TTLin1,130473.250,5.000,5.000
Opto1,130497.500,224.750,204.750
TTLin1,130972.750,5.250,5.250
Opto1,130997.000,225.000,205.000
TTLin1,131474.250,5.250,5.250
Opto1,131496.750,225.000,205.000
TTLin1,131974.000,5.250,5.250
Opto1,131996.500,224.750,204.750
TTLin1,132474.250,5.000,5.000
Opto1,132496.250,224.750,204.750
TTLin1,132973.750,5.250,5.250
Opto1,132996.000,224.750,204.750
TTLin1,133473.750,5.000,5.000
Opto1,133495.750,224.750,204.750
TTLin1,133973.250,5.250,5.250
Opto1,133995.250,225.000,205.000
TTLin1,134473.000,5.000,5.000
Opto1,134495.000,225.000,205.000
TTLin1,134972.500,5.250,5.250
Opto1,134994.750,224.750,204.750
TTLin1,135472.250,5.250,5.250
Opto1,135494.500,224.750,204.750
TTLin1,135975.000,5.000,5.000
Opto1,135994.000,224.750,204.750
TTLin1,136474.500,5.250,5.250
Opto1,136493.750,225.000,205.000
TTLin1,136974.250,5.250,5.250
Opto1,136993.750,224.750,204.750
TTLin1,137474.000,5.000,5.000
Opto1,137493.250,225.000,205.000
TTLin1,137973.750,5.000,5.000
Opto1,137993.000,224.750,204.750
TTLin1,138473.500,5.000,5.000
Opto1,138492.750,258.250,238.250
TTLin1,139001.500,5.250,5.250
Opto1,139025.750,224.750,204.750
TTLin1,139501.250,5.000,5.000
Opto1,139525.500,224.750,204.750
TTLin1,140001.500,5.000,5.000
Opto1,140041.750,225.000,205.000
TTLin1,140516.000,5.000,5.000
Opto1,140541.500,224.750,204.750
TTLin1,141015.750,5.250,5.250
Opto1,141041.250,225.000,205.000
TTLin1,141515.500,5.250,5.250
Opto1,141541.000,224.750,204.750
TTLin1,142015.250,5.250,5.250
Opto1,142040.750,224.750,204.750
TTLin1,142518.500,5.000,5.000
Opto1,142540.250,225.000,205.000
TTLin1,143018.000,5.250,5.250
Opto1,143040.250,224.750,204.750
TTLin1,143518.000,5.000,5.000
Opto1,143539.750,224.750,204.750
TTLin1,144017.500,5.250,5.250
Opto1,144039.500,224.750,204.750
TTLin1,144517.250,5.250,5.250
Opto1,144539.250,225.000,205.000
TTLin1,145017.000,5.250,5.250
Opto1,145038.750,225.000,205.000
TTLin1,145516.750,5.000,5.000
Opto1,145538.500,224.750,204.750
TTLin1,146029.000,5.250,5.250
Opto1,146055.000,224.750,204.750
TTLin1,146529.000,5.000,5.000
Opto1,146554.750,224.750,204.750
TTLin1,147028.750,5.000,5.000
Opto1,147054.250,225.000,205.000
TTLin1,147528.500,5.000,5.000
Opto1,147554.250,224.750,204.750
TTLin1,148028.250,5.000,5.000
